areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes,notes
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.81639,Percentage,%,,,,,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,19.68281,Percentage,%,,,,,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.43928,Percentage,%,,,,,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,31.943140000000003,Percentage,%,,,,,
E08000023,South Tyneside,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.94275,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,24.01642,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.97458,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.43552,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,38.95948,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,37.99366,Percentage,%,,,,,
E08000024,Sunderland,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.77563,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.5758,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.42391,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.24394,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.38932,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.44209,Percentage,%,,,,,
E12000002,North West,Region,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.15757,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.2517,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,19.7827,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,24.08655,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,37.4219,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.77199,Percentage,%,,,,,
E06000008,Blackburn with Darwen,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.71605,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.84211,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,37.19563,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,35.33889,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,21.32445,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.18873,Percentage,%,,,,,
E06000009,Blackpool,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,18.32659,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,23.04714,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,23.959429999999998,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,26.816190000000002,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,40.42026,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,37.297540000000005,Percentage,%,,,,,
E06000049,Cheshire East,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.00264,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,40.83252,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,39.86202,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,42.4786,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,26.3657,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,24.02562,Percentage,%,,,,,
E06000050,Cheshire West and Chester,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,24.24344,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,25.87943,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.14586,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.50248,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.56758,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.934,Percentage,%,,,,,
E06000006,Halton,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,23.19381,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.79273,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,22.11489,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,20.87371,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,30.53875,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.1416,Percentage,%,,,,,
E06000007,Warrington,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,30.95465,Percentage,%,,,,,
E10000006,Cumbria,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,39.186859999999996,Percentage,%,,,,Obsolete code since 2023 (replaced by E06000063 Cumberland and E06000064 Westmorland and Furness),
E10000006,Cumbria,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,38.87145,Percentage,%,,,,Obsolete code since 2023 (replaced by E06000063 Cumberland and E06000064 Westmorland and Furness),
E10000006,Cumbria,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,20.64143,Percentage,%,,,,Obsolete code since 2023 (replaced by E06000063 Cumberland and E06000064 Westmorland and Furness),
E10000006,Cumbria,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.57498,Percentage,%,,,,Obsolete code since 2023 (replaced by E06000063 Cumberland and E06000064 Westmorland and Furness),
E10000006,Cumbria,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.8238,Percentage,%,,,,Obsolete code since 2023 (replaced by E06000063 Cumberland and E06000064 Westmorland and Furness),
E06000063,Cumberland,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.94465,Percentage,%,,,,,
E06000064,Westmorland and Furness,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,35.0291,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.23874,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,17.54761,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.207279999999997,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,30.137079999999997,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,29.11777,Percentage,%,,,,,
E08000001,Bolton,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,30.812640000000002,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.154120000000002,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,22.78912,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,22.00319,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,34.6226,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,34.90487,Percentage,%,,,,,
E08000002,Bury,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.64938,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,28.145659999999996,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,29.675690000000003,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,28.80068,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,19.78239,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,15.6781,Percentage,%,,,,,
E08000003,Manchester,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,16.20475,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,18.90325,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,18.98517,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,25.003729999999997,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.18647,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,34.98914,Percentage,%,,,,,
E08000004,Oldham,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,32.17884,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.11267,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,35.69421,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,37.21046,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.68797,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,20.26138,Percentage,%,,,,,
E08000005,Rochdale,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,19.81999,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.345229999999997,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,22.416710000000002,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,28.643729999999998,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.53817,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,38.10158,Percentage,%,,,,,
E08000006,Salford,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.71192,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,23.44427,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,26.18243,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,25.32844,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,38.904540000000004,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,39.63478,Percentage,%,,,,,
E08000007,Stockport,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,39.83664,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,29.93127,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,28.84031,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,31.333159999999996,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,18.29488,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,17.950470000000003,Percentage,%,,,,,
E08000008,Tameside,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,19.61535,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,18.90778,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.006520000000002,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,34.71743,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,33.1775,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,32.10459,Percentage,%,,,,,
E08000009,Trafford,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,21.746579999999998,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,33.84942,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,34.61298,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.90783,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.73394,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,21.0349,Percentage,%,,,,,
E08000010,Wigan,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,21.69507,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2021-08-01/P1Y,36.61654,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,20.35516,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,19.72145,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2023-08-01/P1Y,36.071090000000005,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2022-08-01/P1Y,36.44135,Percentage,%,,,,,
E10000017,Lancashire,County or Unitary Authority,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,23.10795,Percentage,%,,,,,
E08000011,Knowsley,Local Authority District,Persistent absences for pupils eligible for free school meals,2017-08-01/P1Y,24.73441,Percentage,%,,,,,
E08000011,Knowsley,Local Authority District,Persistent absences for pupils eligible for free school meals,2018-08-01/P1Y,23.5026,Percentage,%,,,,,
E08000011,Knowsley,Local Authority District,Persistent absences for pupils eligible for free school meals,2020-08-01/P1Y,27.26632,Percentage,%,,,,,
